id,year,state,city,population_est,crime_count,annualized_rate_per_100k
3651000,2020,NY,New York,8256951,459,5.56
644000,2020,CA,Los Angeles,3970747,346,8.71
1714000,2020,IL,Chicago,2678220,780,29.12
4835000,2020,TX,Houston,2316103,400,17.27
455000,2020,AZ,Phoenix,1707078,196,11.48
4260000,2020,PA,Philadelphia,1578735,469,29.71
4865000,2020,TX,San Antonio,1566290,128,8.17
666000,2020,CA,San Diego,1422328,55,3.87
4819000,2020,TX,Dallas,1343263,236,17.57
668000,2020,CA,San Jose,1014154,40,3.94
4805000,2020,TX,Austin,994787,47,4.72
4827000,2020,TX,Fort Worth,926919,110,11.87
1235000,2020,FL,Jacksonville,920276,141,15.32
3918000,2020,OH,Columbus,903688,174,19.25
3712000,2020,NC,Charlotte,899832,119,13.22
1836003,2020,IN,Indianapolis,877811,216,24.61
667000,2020,CA,San Francisco,867115,48,5.54
5363000,2020,WA,Seattle,769030,48,6.24
820000,2020,CO,Denver,735120,85,11.56
1150000,2020,DC,Washington,712626,192,26.94
2507000,2020,MA,Boston,691662,57,8.24
4824000,2020,TX,El Paso,681472,28,4.11
4752006,2020,TN,Nashville-Davidson,671230,117,17.43
2622000,2020,MI,Detroit,665580,299,44.92
4055000,2020,OK,Oklahoma City,662023,61,9.21
3240000,2020,NV,Las Vegas,662018,96,14.5
4159000,2020,OR,Portland,656652,56,8.53
4748000,2020,TN,Memphis,649759,275,42.32
2148006,2020,KY,Louisvillle,618344,160,25.88
5553000,2020,WI,Milwaukee,589146,190,32.25
2404000,2020,MD,Baltimore,586484,333,56.78
3502000,2020,NM,Albuquerque,562467,80,14.22
477000,2020,AZ,Tucson,553379,67,12.11
627000,2020,CA,Fresno,530230,73,13.77
446000,2020,AZ,Mesa,527756,19,3.6
664000,2020,CA,Sacramento,512710,40,7.8
1304000,2020,GA,Atlanta,512331,154,30.06
2938000,2020,MO,Kansas City,497123,156,31.38
816000,2020,CO,Colorado Springs,481960,36,7.47
3137000,2020,NE,Omaha,478367,37,7.73
3755000,2020,NC,Raleigh,474408,25,5.27
1245000,2020,FL,Miami,471341,61,12.94
643000,2020,CA,Long Beach,454840,36,7.91
5182000,2020,VA,Virginia Beach,451212,17,3.77
2743000,2020,MN,Minneapolis,432932,74,17.09
653000,2020,CA,Oakland,424801,96,22.6
1271000,2020,FL,Tampa,407324,41,10.07
4075000,2020,OK,Tulsa,403092,78,19.35
4804000,2020,TX,Arlington,398867,23,5.77
2079000,2020,KS,Wichita,391673,45,11.49
2255000,2020,LA,New Orleans,389547,178,45.69
804000,2020,CO,Aurora,387304,39,10.07
603526,2020,CA,Bakersfield,385598,44,11.41
3916000,2020,OH,Cleveland,378706,160,42.25
602000,2020,CA,Anaheim,353690,16,4.52
669000,2020,CA,Santa Ana,331285,15,4.53
662000,2020,CA,Riverside,330744,26,7.86
3231900,2020,NV,Henderson,328854,13,3.95
4817000,2020,TX,Corpus Christi,327220,34,10.39
2146027,2020,KY,Lexington,324701,34,10.47
675000,2020,CA,Stockton,312732,56,17.91
2758000,2020,MN,St. Paul,306758,34,11.08
3915000,2020,OH,Cincinnati,304544,88,28.9
4261000,2020,PA,Pittsburgh,299261,48,16.04
3728000,2020,NC,Greensboro,297838,59,19.81
2965000,2020,MO,St. Louis,297780,264,88.66
4858016,2020,TX,Plano,291150,3,1.03
3128000,2020,NE,Lincoln,290421,7,2.41
1253000,2020,FL,Orlando,289385,20,6.91
203000,2020,AK,Anchorage,287166,18,6.27
3719000,2020,NC,Durham,285695,36,12.6
636770,2020,CA,Irvine,283507,1,0.35
3451000,2020,NJ,Newark,282536,51,18.05
613392,2020,CA,Chula Vista,272890,11,4.03
1825000,2020,IN,Fort Wayne,272306,43,15.79
3977000,2020,OH,Toledo,271524,40,14.73
1263000,2020,FL,St. Petersburg,267705,15,5.6
412000,2020,AZ,Chandler,265222,8,3.02
4841464,2020,TX,Laredo,263580,12,4.55
5548000,2020,WI,Madison,262979,10,3.8
3436000,2020,NJ,Jersey City,262667,17,6.47
4845000,2020,TX,Lubbock,262475,28,10.67
465000,2020,AZ,Scottsdale,262472,8,3.05
3251800,2020,NV,North Las Vegas,259804,18,6.93
3260600,2020,NV,Reno,259155,17,6.56
427820,2020,AZ,Glendale,255195,24,9.4
3611000,2020,NY,Buffalo,254514,64,25.15
3775000,2020,NC,Winston-Salem,248098,30,12.09
5116000,2020,VA,Chesapeake,246944,15,6.07
5157000,2020,VA,Norfolk,242836,46,18.94
4837000,2020,TX,Irving,240864,9,3.74
4829000,2020,TX,Garland,238208,6,2.52
626000,2020,CA,Fremont,234601,2,0.85
1230000,2020,FL,Hialeah,232062,7,3.02
5367000,2020,WA,Spokane,222040,19,8.56
2205000,2020,LA,Baton Rouge,219124,102,46.55
665000,2020,CA,San Bernardino,217460,69,31.73
107000,2020,AL,Birmingham,207031,113,54.58
3663000,2020,NY,Rochester,205252,51,24.85
